pca_1,pca_2,tsne_1,tsne_2,label
-2082.3186170917324,349.14114289548525,7.9594593,40.555885,Data Asli
-1897.5650205102029,229.97551850420405,-7.6340714,32.77295,Data Asli
-1770.5241575477266,243.71610086293185,5.6851745,-35.64269,Data Asli
-2373.8097247957885,612.7331209013164,-17.632374,17.444456,Data Asli
-2236.943592695756,613.9501092291039,-0.39259288,-9.993042,Data Asli
-2085.07188122753,301.6070034657196,-10.943661,-26.696115,Data Asli
-1310.5566576072779,-62.51061432990991,8.619129,-26.065783,Data Asli
-893.5136426041936,775.3879138671018,9.886377,1.7886022,Data Asli
-2032.8869895623466,262.1961845308151,15.871874,-12.3313265,Data Asli
-1954.2978703222361,122.05902694222186,-7.3321943,30.012619,Data Asli
-2096.424684040936,304.2173656935047,-19.159332,31.800562,Data Asli
-1995.6324305574963,321.9059859053805,12.352607,-8.343683,Data Asli
-2434.0825642353557,1009.9481826639244,-7.836835,-6.5522842,Data Asli
-2034.3263726715559,247.07383866319742,8.598143,31.613012,Data Asli
-1882.8167193943482,392.36991201523506,-7.553029,-26.869772,Data Asli
-2005.824107907425,233.4907548754054,16.9936,-11.189409,Data Asli
-2668.430053942484,633.0719774000945,-15.70519,-4.1807017,Data Asli
-2077.2655916368676,312.05718337371945,-18.77172,32.882572,Data Asli
-2140.2820862878907,263.9139224190785,13.748604,40.124077,Data Asli
-2084.4161564284186,328.3462267486002,9.568566,39.444267,Data Asli
17219.779057137453,2455.887750962502,70.093796,-0.48003873,Data Asli
-1073.6260640240725,-191.1107028553397,9.615949,-28.723118,Data Asli
-1438.2413755051894,-74.7782020884215,5.0345516,-26.408606,Data Asli
-2078.3176409865773,310.6488537269224,-18.418863,32.385883,Data Asli
-2063.9007809437426,310.36035692309906,9.112386,34.949604,Data Asli
17461.929650367692,1970.541173808224,68.13259,3.7712913,Data Asli
-2025.2025306361284,236.1956917192456,-12.291529,31.35423,Data Asli
-2106.195435066391,312.5903075078995,11.433945,41.106895,Data Asli
3812.7352037857127,-9711.853909350013,36.771942,-18.273272,Data Asli
-1054.5455113044118,-247.13926089023153,10.48995,-29.4221,Data Asli
-1778.4237447886335,82.98884097670998,2.6469393,-25.521873,Data Asli
