[START] 2026-01-17T08:16:21Z bridge=br0 duration=600 interval=1
[INFO] Delay log path: /home/ovs/sdn-iot/pengujian/delay_log.csv
[INFO] Output dataset : /home/ovs/sdn-iot/pengujian/allport/dataset_dqn.csv
[PROGRESS] ts=2026-01-17T08:17:15Z rows=49 delay(dht11)=5.258 delay(camera)=5.697 delay(max)=5.255
[PROGRESS] ts=2026-01-17T08:17:16Z rows=50 delay(dht11)=5.272 delay(camera)=5.697 delay(max)=5.255
[PROGRESS] ts=2026-01-17T08:17:17Z rows=51 delay(dht11)=5.271 delay(camera)=5.697 delay(max)=5.310
[PROGRESS] ts=2026-01-17T08:17:18Z rows=52 delay(dht11)=5.227 delay(camera)=5.514 delay(max)=5.310
[PROGRESS] ts=2026-01-17T08:17:19Z rows=53 delay(dht11)=5.251 delay(camera)=5.514 delay(max)=5.267
[PROGRESS] ts=2026-01-17T08:17:21Z rows=54 delay(dht11)=5.294 delay(camera)=5.624 delay(max)=5.267
[PROGRESS] ts=2026-01-17T08:17:22Z rows=55 delay(dht11)=5.360 delay(camera)=5.624 delay(max)=5.267
[PROGRESS] ts=2026-01-17T08:17:23Z rows=56 delay(dht11)=5.304 delay(camera)=5.624 delay(max)=5.270
[PROGRESS] ts=2026-01-17T08:17:24Z rows=57 delay(dht11)=5.282 delay(camera)=5.568 delay(max)=5.270
[PROGRESS] ts=2026-01-17T08:17:25Z rows=58 delay(dht11)=5.233 delay(camera)=5.428 delay(max)=5.270
[PROGRESS] ts=2026-01-17T08:17:26Z rows=59 delay(dht11)=5.232 delay(camera)=5.428 delay(max)=5.491
[PROGRESS] ts=2026-01-17T08:17:27Z rows=60 delay(dht11)=5.258 delay(camera)=5.848 delay(max)=5.491
[PROGRESS] ts=2026-01-17T08:17:28Z rows=61 delay(dht11)=5.267 delay(camera)=5.848 delay(max)=5.256
[PROGRESS] ts=2026-01-17T08:17:30Z rows=62 delay(dht11)=5.266 delay(camera)=5.848 delay(max)=5.256
[PROGRESS] ts=2026-01-17T08:17:31Z rows=63 delay(dht11)=5.316 delay(camera)=5.569 delay(max)=5.256
[PROGRESS] ts=2026-01-17T08:17:32Z rows=64 delay(dht11)=5.208 delay(camera)=5.569 delay(max)=5.216
[PROGRESS] ts=2026-01-17T08:17:33Z rows=65 delay(dht11)=5.270 delay(camera)=5.488 delay(max)=5.216
[PROGRESS] ts=2026-01-17T08:17:34Z rows=66 delay(dht11)=5.217 delay(camera)=5.488 delay(max)=5.216
[PROGRESS] ts=2026-01-17T08:17:35Z rows=67 delay(dht11)=5.262 delay(camera)=5.488 delay(max)=5.253
[PROGRESS] ts=2026-01-17T08:17:36Z rows=68 delay(dht11)=5.207 delay(camera)=5.723 delay(max)=5.253
[PROGRESS] ts=2026-01-17T08:17:37Z rows=69 delay(dht11)=5.232 delay(camera)=5.560 delay(max)=5.219
[PROGRESS] ts=2026-01-17T08:17:39Z rows=70 delay(dht11)=5.468 delay(camera)=5.560 delay(max)=5.219
[PROGRESS] ts=2026-01-17T08:17:40Z rows=71 delay(dht11)=5.208 delay(camera)=5.560 delay(max)=5.219
[PROGRESS] ts=2026-01-17T08:17:41Z rows=72 delay(dht11)=5.310 delay(camera)=5.828 delay(max)=5.237
[PROGRESS] ts=2026-01-17T08:17:42Z rows=73 delay(dht11)=5.220 delay(camera)=5.828 delay(max)=5.237
[PROGRESS] ts=2026-01-17T08:17:43Z rows=74 delay(dht11)=5.178 delay(camera)=5.828 delay(max)=5.237
[PROGRESS] ts=2026-01-17T08:17:44Z rows=75 delay(dht11)=5.255 delay(camera)=5.679 delay(max)=5.209
[PROGRESS] ts=2026-01-17T08:17:45Z rows=76 delay(dht11)=5.220 delay(camera)=5.679 delay(max)=5.209
[PROGRESS] ts=2026-01-17T08:17:46Z rows=77 delay(dht11)=5.195 delay(camera)=5.679 delay(max)=5.195
[PROGRESS] ts=2026-01-17T08:17:48Z rows=78 delay(dht11)=5.214 delay(camera)=5.663 delay(max)=5.195
[PROGRESS] ts=2026-01-17T08:17:49Z rows=79 delay(dht11)=5.305 delay(camera)=5.484 delay(max)=5.195
[PROGRESS] ts=2026-01-17T08:17:50Z rows=80 delay(dht11)=5.209 delay(camera)=5.484 delay(max)=5.205
[PROGRESS] ts=2026-01-17T08:17:51Z rows=81 delay(dht11)=5.633 delay(camera)=5.484 delay(max)=5.205
[PROGRESS] ts=2026-01-17T08:17:52Z rows=82 delay(dht11)=5.246 delay(camera)=5.484 delay(max)=5.205
[PROGRESS] ts=2026-01-17T08:17:53Z rows=83 delay(dht11)=5.363 delay(camera)=5.484 delay(max)=5.217
