timestamp,device_id,src_ip,delay_ms
2026-01-14T11:08:23Z,camera,192.168.15.237,-5.868
2026-01-14T11:08:28Z,camera,192.168.15.237,-5.711
2026-01-14T11:08:33Z,camera,192.168.15.237,-5.994
2026-01-14T11:08:36Z,camera,192.168.15.237,-5.872
2026-01-14T11:08:41Z,camera,192.168.15.237,-6.212
2026-01-14T11:08:43Z,camera,192.168.15.237,-6.186
2026-01-14T11:08:48Z,camera,192.168.15.237,-5.890
2026-01-14T11:08:52Z,camera,192.168.15.237,-5.851
2026-01-14T11:08:56Z,camera,192.168.15.237,-4.591
2026-01-14T11:08:58Z,max,192.168.15.237,-6.537
2026-01-14T11:09:00Z,max,192.168.15.237,-6.548
2026-01-14T11:09:01Z,camera,192.168.15.237,-2.960
2026-01-14T11:09:02Z,max,192.168.15.237,-4.808
2026-01-14T11:09:02Z,camera,192.168.15.237,-4.543
2026-01-14T11:09:04Z,max,192.168.15.237,-6.536
2026-01-14T11:09:04Z,camera,192.168.15.237,-6.210
2026-01-14T11:09:06Z,max,192.168.15.237,-6.310
2026-01-14T11:09:07Z,camera,192.168.15.237,-6.299
2026-01-14T11:09:08Z,max,192.168.15.237,-6.562
2026-01-14T11:09:16Z,max,192.168.15.237,6447.203
2026-01-14T11:09:19Z,camera,192.168.15.237,9055.853
2026-01-14T11:09:20Z,max,192.168.15.237,7704.023
2026-01-14T11:09:20Z,camera,192.168.15.237,6162.198
2026-01-14T11:09:20Z,max,192.168.15.237,5713.690
2026-01-14T11:09:20Z,max,192.168.15.237,3713.473
2026-01-14T11:09:20Z,camera,192.168.15.237,2165.101
2026-01-14T11:09:20Z,max,192.168.15.237,1716.812
2026-01-14T11:09:20Z,camera,192.168.15.237,164.865
2026-01-14T11:09:20Z,max,192.168.15.237,-6.530
2026-01-14T11:09:22Z,max,192.168.15.237,-6.522
2026-01-14T11:09:24Z,max,192.168.15.237,-6.499
2026-01-14T11:09:24Z,camera,192.168.15.237,-6.309
2026-01-14T11:09:25Z,camera,192.168.15.237,-5.713
2026-01-14T11:09:26Z,max,192.168.15.237,-6.195
2026-01-14T11:09:27Z,camera,192.168.15.237,-5.967
2026-01-14T11:09:28Z,max,192.168.15.237,-6.473
2026-01-14T11:09:30Z,max,192.168.15.237,-3.786
2026-01-14T11:09:30Z,camera,192.168.15.237,-6.089
2026-01-14T11:09:31Z,camera,192.168.15.237,-6.274
2026-01-14T11:09:32Z,max,192.168.15.237,-6.374
2026-01-14T11:09:33Z,camera,192.168.15.237,-5.631
2026-01-14T11:09:34Z,max,192.168.15.237,-6.496
2026-01-14T11:09:36Z,max,192.168.15.237,-6.483
2026-01-14T11:09:36Z,camera,192.168.15.237,-6.210
2026-01-14T11:09:38Z,max,192.168.15.237,-6.094
2026-01-14T11:09:39Z,camera,192.168.15.237,-5.647
2026-01-14T11:09:40Z,max,192.168.15.237,-6.476
2026-01-14T11:09:40Z,camera,192.168.15.237,-5.636
2026-01-14T11:09:42Z,max,192.168.15.237,-6.384
2026-01-14T11:09:42Z,camera,192.168.15.237,-6.060
2026-01-14T11:09:44Z,max,192.168.15.237,-6.479
2026-01-14T11:09:44Z,camera,192.168.15.237,-5.526
2026-01-14T11:09:46Z,max,192.168.15.237,-6.292
2026-01-14T11:09:48Z,max,192.168.15.237,-6.426
2026-01-14T11:09:48Z,camera,192.168.15.237,-6.185
2026-01-14T11:09:49Z,camera,192.168.15.237,-5.921
2026-01-14T11:09:50Z,max,192.168.15.237,-6.446
2026-01-14T11:09:51Z,camera,192.168.15.237,-4.320
2026-01-14T11:09:52Z,max,192.168.15.237,-6.130
2026-01-14T11:09:54Z,max,192.168.15.237,-5.804
2026-01-14T11:09:56Z,max,192.168.15.237,-6.424
2026-01-14T11:09:56Z,camera,192.168.15.237,-6.186
2026-01-14T11:09:58Z,max,192.168.15.237,-6.302
2026-01-14T11:10:00Z,max,192.168.15.237,-6.371
2026-01-14T11:10:01Z,camera,192.168.15.237,-5.392
2026-01-14T11:10:02Z,max,192.168.15.237,-6.394
2026-01-14T11:10:04Z,max,192.168.15.237,-6.353
2026-01-14T11:10:04Z,camera,192.168.15.237,-5.657
2026-01-14T11:10:05Z,camera,192.168.15.237,-5.545
2026-01-14T11:10:06Z,max,192.168.15.237,-6.341
2026-01-14T11:10:07Z,camera,192.168.15.237,-5.951
2026-01-14T11:10:08Z,max,192.168.15.237,-6.386
2026-01-14T11:10:10Z,max,192.168.15.237,-6.311
2026-01-14T11:10:12Z,max,192.168.15.237,-6.304
2026-01-14T11:10:12Z,camera,192.168.15.237,-5.585
2026-01-14T11:10:13Z,camera,192.168.15.237,-5.679
2026-01-14T11:10:14Z,max,192.168.15.237,-6.357
2026-01-14T11:10:16Z,max,192.168.15.237,-6.317
2026-01-14T11:10:18Z,max,192.168.15.237,-0.358
2026-01-14T11:10:18Z,camera,192.168.15.237,-5.466
2026-01-14T11:10:20Z,max,192.168.15.237,-6.332
2026-01-14T11:10:22Z,max,192.168.15.237,-6.288
2026-01-14T11:10:22Z,camera,192.168.15.237,-5.980
2026-01-14T11:10:24Z,max,192.168.15.237,-6.290
2026-01-14T11:10:26Z,max,192.168.15.237,-6.281
2026-01-14T11:10:27Z,camera,192.168.15.237,-6.022
2026-01-14T11:10:28Z,max,192.168.15.237,-6.238
2026-01-14T11:10:33Z,camera,192.168.15.237,1990.349
2026-01-14T11:10:33Z,max,192.168.15.237,1552.736
2026-01-14T11:10:34Z,max,192.168.15.237,13.114
2026-01-14T11:10:39Z,camera,192.168.15.237,4410.671
2026-01-14T11:10:39Z,max,192.168.15.237,2995.004
2026-01-14T11:10:39Z,max,192.168.15.237,995.589
2026-01-14T11:10:39Z,camera,192.168.15.237,-5.378
2026-01-14T11:10:40Z,max,192.168.15.237,-6.158
2026-01-14T11:10:42Z,max,192.168.15.237,-6.214
2026-01-14T11:10:42Z,camera,192.168.15.237,-5.057
2026-01-14T11:10:43Z,camera,192.168.15.237,-5.926
2026-01-14T11:10:44Z,max,192.168.15.237,-6.162
2026-01-14T11:10:44Z,camera,192.168.15.237,-5.284
2026-01-14T11:10:46Z,max,192.168.15.237,-6.012
2026-01-14T11:10:48Z,max,192.168.15.237,-6.048
2026-01-14T11:10:48Z,camera,192.168.15.237,-5.791
2026-01-14T11:10:49Z,camera,192.168.15.237,-5.206
2026-01-14T11:10:50Z,max,192.168.15.237,-5.891
2026-01-14T11:10:52Z,max,192.168.15.237,-6.058
2026-01-14T11:10:54Z,max,192.168.15.237,-6.250
2026-01-14T11:10:54Z,camera,192.168.15.237,-5.430
2026-01-14T11:10:56Z,max,192.168.15.237,-6.076
2026-01-14T11:10:58Z,max,192.168.15.237,-6.130
2026-01-14T11:10:58Z,camera,192.168.15.237,-5.261
2026-01-14T11:11:00Z,max,192.168.15.237,-6.110
2026-01-14T11:11:00Z,camera,192.168.15.237,-5.278
2026-01-14T11:11:02Z,max,192.168.15.237,-6.250
2026-01-14T11:11:04Z,max,192.168.15.237,-5.840
2026-01-14T11:11:04Z,camera,192.168.15.237,-5.320
2026-01-14T11:11:06Z,max,192.168.15.237,-4.582
2026-01-14T11:11:06Z,camera,192.168.15.237,-5.148
2026-01-14T11:11:08Z,max,192.168.15.237,-6.068
2026-01-14T11:11:09Z,camera,192.168.15.237,-5.487
2026-01-14T11:11:10Z,max,192.168.15.237,-6.160
2026-01-14T11:11:12Z,max,192.168.15.237,-5.193
2026-01-14T11:11:13Z,camera,192.168.15.237,-5.766
2026-01-14T11:11:14Z,max,192.168.15.237,-6.171
2026-01-14T11:11:16Z,max,192.168.15.237,-6.172
2026-01-14T11:11:17Z,camera,192.168.15.237,-5.791
2026-01-14T11:11:18Z,max,192.168.15.237,-6.014
2026-01-14T11:11:20Z,max,192.168.15.237,-6.120
2026-01-14T11:11:21Z,camera,192.168.15.237,-5.376
2026-01-14T11:11:22Z,max,192.168.15.237,-6.145
2026-01-14T11:11:24Z,max,192.168.15.237,-6.166
2026-01-14T11:11:24Z,camera,192.168.15.237,-5.523
2026-01-14T11:11:26Z,max,192.168.15.237,-6.167
2026-01-14T11:11:28Z,max,192.168.15.237,-6.137
2026-01-14T11:11:29Z,camera,192.168.15.237,-5.750
2026-01-14T11:11:30Z,max,192.168.15.237,-4.568
2026-01-14T11:11:32Z,max,192.168.15.237,-6.149
2026-01-14T11:11:33Z,camera,192.168.15.237,-5.310
2026-01-14T11:11:34Z,max,192.168.15.237,-6.068
2026-01-14T11:11:35Z,camera,192.168.15.237,-5.778
2026-01-14T11:11:36Z,max,192.168.15.237,-6.141
2026-01-14T11:11:37Z,camera,192.168.15.237,-5.208
2026-01-14T11:11:38Z,max,192.168.15.237,-5.998
2026-01-14T11:11:39Z,camera,192.168.15.237,-5.549
2026-01-14T11:11:40Z,max,192.168.15.237,-6.125
2026-01-14T11:11:40Z,camera,192.168.15.237,-5.428
2026-01-14T11:11:42Z,max,192.168.15.237,-6.122
2026-01-14T11:11:44Z,max,192.168.15.237,-6.132
2026-01-14T11:11:44Z,camera,192.168.15.237,-5.759
2026-01-14T11:11:46Z,max,192.168.15.237,-6.108
2026-01-14T11:11:48Z,max,192.168.15.237,-6.113
2026-01-14T11:11:49Z,camera,192.168.15.237,-5.379
2026-01-14T11:11:50Z,max,192.168.15.237,-6.056
2026-01-14T11:11:50Z,camera,192.168.15.237,-5.600
2026-01-14T11:11:52Z,max,192.168.15.237,-6.070
2026-01-14T11:11:53Z,camera,192.168.15.237,-5.387
2026-01-14T11:11:54Z,max,192.168.15.237,-6.103
2026-01-14T11:11:56Z,max,192.168.15.237,-5.929
2026-01-14T11:11:57Z,camera,192.168.15.237,-5.295
2026-01-14T11:11:58Z,max,192.168.15.237,-6.094
2026-01-14T11:11:59Z,camera,192.168.15.237,-5.294
2026-01-14T11:12:00Z,max,192.168.15.237,-6.055
2026-01-14T11:12:01Z,camera,192.168.15.237,-5.233
2026-01-14T11:12:02Z,max,192.168.15.237,-6.028
2026-01-14T11:12:04Z,max,192.168.15.237,-5.757
2026-01-14T11:12:04Z,camera,192.168.15.237,-5.701
2026-01-14T11:12:06Z,max,192.168.15.237,-3.282
2026-01-14T11:12:08Z,max,192.168.15.237,-6.082
2026-01-14T11:12:09Z,camera,192.168.15.237,-5.625
2026-01-14T11:12:10Z,max,192.168.15.237,-6.048
2026-01-14T11:12:12Z,max,192.168.15.237,-4.710
2026-01-14T11:12:13Z,camera,192.168.15.237,-4.790
2026-01-14T11:12:14Z,max,192.168.15.237,-6.051
2026-01-14T11:12:16Z,max,192.168.15.237,-6.007
2026-01-14T11:12:17Z,camera,192.168.15.237,-5.387
2026-01-14T11:12:18Z,max,192.168.15.237,-6.023
2026-01-14T11:12:20Z,max,192.168.15.237,-5.960
2026-01-14T11:12:22Z,max,192.168.15.237,-6.002
2026-01-14T11:12:22Z,camera,192.168.15.237,-5.308
2026-01-14T11:12:24Z,max,192.168.15.237,-5.870
2026-01-14T11:12:26Z,max,192.168.15.237,-6.028
2026-01-14T11:12:27Z,camera,192.168.15.237,-5.586
2026-01-14T11:12:28Z,max,192.168.15.237,-5.985
2026-01-14T11:12:29Z,camera,192.168.15.237,-5.657
2026-01-14T11:12:30Z,max,192.168.15.237,-6.027
2026-01-14T11:12:32Z,max,192.168.15.237,-5.802
2026-01-14T11:12:34Z,max,192.168.15.237,-5.942
2026-01-14T11:12:34Z,camera,192.168.15.237,-5.575
2026-01-14T11:12:36Z,max,192.168.15.237,-6.024
2026-01-14T11:12:38Z,max,192.168.15.237,-5.897
2026-01-14T11:12:38Z,camera,192.168.15.237,-5.168
2026-01-14T11:12:40Z,max,192.168.15.237,-5.940
2026-01-14T11:12:42Z,max,192.168.15.237,-6.008
2026-01-14T11:12:43Z,camera,192.168.15.237,-5.251
2026-01-14T11:12:44Z,max,192.168.15.237,-6.002
2026-01-14T11:12:46Z,max,192.168.15.237,-5.860
2026-01-14T11:12:46Z,camera,192.168.15.237,-5.130
2026-01-14T11:12:48Z,max,192.168.15.237,-5.698
2026-01-14T11:12:48Z,camera,192.168.15.237,-2.401
2026-01-14T11:12:50Z,max,192.168.15.237,-5.764
2026-01-14T11:12:50Z,camera,192.168.15.237,-5.534
2026-01-14T11:12:52Z,max,192.168.15.237,-5.883
2026-01-14T11:12:52Z,camera,192.168.15.237,-5.536
2026-01-14T11:12:54Z,max,192.168.15.237,-5.980
2026-01-14T11:12:55Z,camera,192.168.15.237,-5.609
2026-01-14T11:12:56Z,max,192.168.15.237,-3.145
2026-01-14T11:12:58Z,max,192.168.15.237,-5.864
2026-01-14T11:12:58Z,camera,192.168.15.237,-5.721
2026-01-14T11:13:00Z,max,192.168.15.237,-5.754
2026-01-14T11:13:02Z,max,192.168.15.237,-5.524
2026-01-14T11:13:03Z,camera,192.168.15.237,-5.561
2026-01-14T11:13:04Z,max,192.168.15.237,-5.862
2026-01-14T11:13:04Z,camera,192.168.15.237,-5.233
2026-01-14T11:13:06Z,max,192.168.15.237,-5.927
2026-01-14T11:13:08Z,max,192.168.15.237,-5.860
2026-01-14T11:13:09Z,camera,192.168.15.237,-5.376
2026-01-14T11:13:10Z,max,192.168.15.237,-4.937
2026-01-14T11:13:12Z,max,192.168.15.237,-5.942
2026-01-14T11:13:12Z,camera,192.168.15.237,-5.151
2026-01-14T11:13:14Z,max,192.168.15.237,-5.584
2026-01-14T11:13:15Z,camera,192.168.15.237,-5.155
2026-01-14T11:13:16Z,max,192.168.15.237,-5.832
2026-01-14T11:13:18Z,max,192.168.15.237,-5.916
2026-01-14T11:13:20Z,max,192.168.15.237,-5.875
2026-01-14T11:13:20Z,camera,192.168.15.237,-5.138
2026-01-14T11:13:21Z,camera,192.168.15.237,-4.779
2026-01-14T11:13:22Z,max,192.168.15.237,-5.669
2026-01-14T11:13:22Z,camera,192.168.15.237,-5.604
2026-01-14T11:13:24Z,max,192.168.15.237,-5.839
2026-01-14T11:13:24Z,camera,192.168.15.237,-5.402
2026-01-14T11:13:25Z,camera,192.168.15.237,-5.015
2026-01-14T11:13:26Z,max,192.168.15.237,-5.892
2026-01-14T11:13:26Z,camera,192.168.15.237,-4.617
2026-01-14T11:13:28Z,max,192.168.15.237,-5.931
2026-01-14T11:13:28Z,camera,192.168.15.237,-5.214
2026-01-14T11:13:30Z,max,192.168.15.237,-5.667
2026-01-14T11:13:32Z,max,192.168.15.237,-5.869
2026-01-14T11:13:32Z,camera,192.168.15.237,-5.542
2026-01-14T11:13:34Z,max,192.168.15.237,-5.889
2026-01-14T11:13:36Z,max,192.168.15.237,-5.899
2026-01-14T11:13:36Z,camera,192.168.15.237,-5.152
2026-01-14T11:13:38Z,max,192.168.15.237,-5.671
2026-01-14T11:13:38Z,camera,192.168.15.237,-5.446
2026-01-14T11:13:40Z,max,192.168.15.237,-5.730
