Proposed (SDH-PPO),PPO Standard,DQN,DDQN,Static
6.465939558235669,6.315876477633274,6.406599,6.47066499,6.843945447190835
5.904262208685017,5.776857220574893,5.7824984,5.7824984,5.667305258976692
6.0605882848664905,5.895982285422965,5.9558167,6.015374866999999,5.912365403937624
6.755093328342772,6.636713034175957,6.727869,6.79514769,6.754308408398049
5.790639313865321,5.953352928334174,5.6560116,5.6560116,5.224859454526872
6.215449181383224,6.016980847196025,6.1282763,6.189559063,6.325243075603161
6.380828404951096,6.247393846511841,6.312,6.37512,6.515680725603083
6.7519609801611065,6.564991248197842,6.724401,6.791645010000001,7.154494745552645
6.373662567358122,6.18377474071232,6.3040557,6.367096257,6.637312393286541
6.026326361321786,5.836962119714505,5.9181395,5.977320895,6.0455131998077976
6.660314885249549,7.044110465966681,6.6225667,6.6225667,6.315482908737694
5.881990663489143,6.011391062731488,5.7577634,5.7577634,3.443418325308583
6.153077547474917,6.018441295274107,6.0589647,6.119554347,6.335047238081462
5.831634565096856,5.639776803838825,5.701768,5.701768,5.319739852440507
6.010250437569618,5.87369737281903,5.900237,5.95923937,5.730291722033083
5.787356694768925,5.621483454652714,5.6526184,5.6526184,4.830238959648879
5.914099739953464,5.737923040953463,5.793429,5.793429,5.875890604655145
5.7982598140857595,5.652436744096392,5.664729,5.72137629,5.970359887557746
6.470041068213472,6.335452099606409,6.4111567,6.475268267000001,6.762561783266085
6.305098031058585,6.247886877689242,6.227886,6.29016486,6.257116875124376
5.92779030311143,5.770815625610253,5.8086557,5.866742257,6.260788659937402
5.983456361987913,5.914269973825348,5.8704734,5.929178134,5.999891633417962
6.1798741,6.348236185904828,6.088749,6.14963649,6.4623931444972
6.599765145200569,6.426170662458544,6.5552897,6.5552897,6.190641384344433
6.006255191307805,6.039910294185959,5.8957753,5.8957753,6.051725357198414
6.223878780047924,6.15725818429318,6.137635,6.137635,6.121779330024378
6.25175906789062,6.072134768926454,6.168618,6.23030418,6.562429550307634
6.0457274306620326,6.349411396167096,5.9396844,5.9396844,5.329125457859505
6.523699503725388,6.529093210075908,6.4707465,6.535453964999999,6.8085586092876085
5.904677987706948,5.738602105695248,5.782904,5.84073304,5.762638499294492
5.856855995601184,5.819830519519048,5.7298107,5.787108807,6.205767663258858
6.0832672713039395,6.107911189352036,5.981408,5.981408,5.835026873039071
5.693369589268995,5.499923075495529,5.548173,5.548173,5.363669538039639
6.544645894011422,6.38622923575218,6.4939427,6.558882127,6.593628394954373
6.409016951237298,6.735761144114352,6.343352,6.343352,6.487955841154416
6.330920696112424,6.206819756505029,6.2565713,6.319137013,6.4628687788442205
5.797520217767325,5.67927939213407,5.6639004,5.6639004,4.828181959139044
6.068742603368772,5.871808609459452,5.9652615,5.9652615,5.51855453360289
5.944563879801577,5.8326361171030285,5.827291,5.88556391,6.000972547616748
5.875803740928478,5.698072642913916,5.7508836,5.808392436,5.871205392751963
5.793070199241698,5.681082348592353,5.658926,5.71551526,5.516455469256743
6.012670696457495,5.882901923934219,5.9029183,5.961947482999999,5.954244743055381
5.972145423685895,5.820746211862408,5.8579226,5.8579226,5.195111489103842
5.900634341007263,5.752687899251545,5.778411,5.778411,5.604027974913999
6.384313494056928,6.186159827880073,6.315902,6.315902,5.705529042093851
6.155309958518173,6.216220618099166,6.0613403,6.0613403,5.324981334566603
6.210824385442305,6.043099700959897,6.123076,6.123076,5.730288214393643
6.544760393541586,6.351483718586552,6.494178,6.494178,4.815132453499024
6.25331142158016,6.355248415981966,6.170343,6.23204643,6.297315899538499
6.5630212000000006,7.123337203363305,6.514468,6.57961268,6.6606686500521874
6.737839039753435,6.900188245344899,6.7087092,6.775796292000001,7.030757279329811
5.905246334472984,5.831567448143196,5.783607,5.84144307,5.878781992561194
6.080130190690803,6.834831061738038,5.977918,6.03769718,6.158061755676847
6.300204592532128,6.409729796094034,6.2224493,6.2846737930000005,6.5136768279818185
5.908833333028617,5.7947825190992335,5.7875814,5.845457214,6.027537986071724
6.386298009708166,6.267834928495454,6.317944,6.317944,5.902953298190523
6.062214713689634,5.916481221696666,5.9580126,6.017592726,6.421719584577675
6.41194718583867,6.273416878435702,6.346605,6.41007105,6.6344239732089765
6.23284229241718,6.215256638004732,6.147601,6.20907701,6.5632179608607935
6.4880185702987685,6.481006925006874,6.4310794,6.495390194,6.785722355094752
6.053854294744015,5.92939013236382,5.948724,6.0082112400000005,6.03092994381069
6.190098840323025,6.056296488379717,6.100063,6.100063,6.30173128169619
5.950454112008393,6.021033564802993,5.833834,5.89217234,6.115158747696111
6.290170851511359,7.302530437377095,6.2113,6.2113,6.458883247227496
6.11197297,6.23888374949616,6.0133033,6.0133033,4.963205771821902
6.093031614365388,5.896333652435684,5.992256,5.992256,5.056765304142349
6.243244727183694,6.174323505010521,6.1591573,6.220748873000001,6.644036819948782
6.081490648962814,5.921587906548395,5.9794335,5.9794335,4.694700091915041
6.303751510262478,6.1784073172719,6.226389,6.226389,5.780638277796105
5.7436123402502535,5.597697004307747,5.60401,5.60401,5.763798672299939
5.9951903726325515,6.030645856981539,5.883532,5.883532,5.805844712798677
6.621953239219547,6.442972327555967,6.579948,6.64574748,6.631759851323234
6.689766226093436,6.497233671600413,6.655278,6.655278,6.874935048526604
5.881457282083199,5.769022291333041,5.7570786,5.7570786,6.187992268752045
6.220436163372293,6.375400815853917,6.1338167,6.195154866999999,6.416330640656327
6.248077568185643,6.076126555662307,6.1645103,6.1645103,6.112466685002906
6.031937500000001,6.189474330855534,5.924375,5.983618750000001,6.374747417617362
6.731912376385355,6.731421325091112,6.701874,6.701874,6.285363538891686
6.167076834455476,5.981387087539718,6.0745025,6.1352475250000005,6.278244952626558
6.06937663366132,5.939898570481248,5.9659286,5.9659286,5.191751922043743
6.7133833,6.758686099962735,6.681537,6.74835237,7.24718581864827
6.1513077026461955,6.12334905670166,6.056995,6.056995,5.220264596415662
5.911463630159568,5.863534074736881,5.790512,5.84841712,5.875239537524919
6.547857884491325,6.666430512003244,6.4976163,6.562592463,6.623421726512481
6.168925915703745,5.999201788009048,6.0765495,6.0765495,6.168624729820895
6.213684838218242,6.336110538484544,6.126299,6.126299,5.708409199203042
6.356800701737046,6.166353315161409,6.2852964,6.348149364,6.79521579900442
