Epoch,Loss,Reward
1,244.43258666992188,-15.489639282226562
2,225.30105590820312,-14.951956748962402
3,221.14559936523438,-14.876065254211426
4,235.919921875,-15.341532707214355
5,235.92526245117188,-15.374231338500977
6,226.83782958984375,-15.121847152709961
7,223.02816772460938,-15.03054428100586
8,227.8193359375,-15.195104598999023
9,218.36773681640625,-14.949975967407227
10,231.0157928466797,-15.315433502197266
11,222.09841918945312,-15.153377532958984
12,243.0489501953125,-15.626668930053711
13,226.428466796875,-15.201372146606445
14,221.2189483642578,-15.065300941467285
15,237.56900024414062,-15.535563468933105
16,209.02371215820312,-14.734319686889648
17,215.01739501953125,-14.940450668334961
18,222.0496826171875,-15.267057418823242
19,219.4940185546875,-15.230690956115723
20,217.33001708984375,-15.091141700744629
21,214.08755493164062,-15.165241241455078
22,212.17845153808594,-14.988953590393066
23,235.482666015625,-15.78936767578125
24,208.10874938964844,-14.962425231933594
25,219.84019470214844,-15.391153335571289
26,205.88034057617188,-14.94195556640625
27,225.55599975585938,-15.612571716308594
28,207.4888458251953,-15.218820571899414
29,207.1732177734375,-15.19502067565918
30,213.3834228515625,-15.382349967956543
31,194.20223999023438,-14.846860885620117
32,211.51043701171875,-15.302026748657227
33,215.13340759277344,-15.400494575500488
34,213.95828247070312,-15.416683197021484
35,198.39447021484375,-14.95598316192627
36,194.421630859375,-14.97951889038086
37,196.75759887695312,-15.218825340270996
38,198.76283264160156,-15.183049201965332
39,209.93643188476562,-15.510055541992188
40,208.88479614257812,-15.621969223022461
41,183.68264770507812,-14.827102661132812
42,195.89923095703125,-15.214466094970703
43,209.8065948486328,-15.611324310302734
44,193.99609375,-15.13224983215332
45,186.93441772460938,-15.14451789855957
46,196.01873779296875,-15.244917869567871
47,196.15451049804688,-15.589542388916016
48,172.9225616455078,-14.945430755615234
49,182.01983642578125,-15.222280502319336
50,185.1973876953125,-15.31418228149414
51,201.07821655273438,-15.79281234741211
52,175.2073974609375,-14.77291488647461
53,184.4791259765625,-15.280010223388672
54,181.66717529296875,-15.14603042602539
55,182.53506469726562,-15.426301002502441
56,174.11837768554688,-15.038956642150879
57,191.39236450195312,-15.601472854614258
58,174.37210083007812,-14.930536270141602
59,181.34896850585938,-15.481197357177734
60,166.06637573242188,-15.18692684173584
61,168.07095336914062,-15.198371887207031
62,167.6143798828125,-14.963096618652344
63,162.22549438476562,-15.12507152557373
64,163.9869384765625,-15.036060333251953
65,177.27603149414062,-15.49661922454834
66,165.09197998046875,-15.223910331726074
67,166.6249237060547,-15.315397262573242
68,177.15524291992188,-15.817764282226562
69,136.554443359375,-14.652101516723633
70,154.8402862548828,-15.351391792297363
71,171.03338623046875,-16.08540153503418
72,141.84657287597656,-14.598429679870605
73,144.0287322998047,-14.948909759521484
74,149.62713623046875,-15.229451179504395
75,157.751953125,-15.300540924072266
76,145.62973022460938,-15.147836685180664
77,149.19708251953125,-15.566056251525879
78,164.38584899902344,-15.816509246826172
79,148.24069213867188,-15.681032180786133
80,146.255615234375,-15.381519317626953
81,137.7738037109375,-15.096675872802734
82,131.76071166992188,-15.253064155578613
83,139.8304901123047,-15.420797348022461
84,145.15386962890625,-15.114259719848633
85,141.73617553710938,-15.433151245117188
86,152.417236328125,-15.937969207763672
87,122.87774658203125,-14.92322063446045
88,126.5846176147461,-15.547046661376953
89,121.85517883300781,-15.08882999420166
90,135.7518310546875,-15.663065910339355
91,112.77175903320312,-15.11824893951416
92,131.70394897460938,-15.508408546447754
93,110.33975219726562,-15.22198486328125
94,136.25779724121094,-15.67430305480957
95,117.11365509033203,-15.059663772583008
96,139.63548278808594,-16.053911209106445
97,113.11732482910156,-15.104450225830078
98,112.37405395507812,-15.122608184814453
99,104.23091125488281,-14.757463455200195
100,114.28604125976562,-15.33071231842041
101,125.67595672607422,-15.26571273803711
102,117.51361846923828,-15.24424934387207
103,117.68797302246094,-15.071599960327148
104,105.78939056396484,-15.139754295349121
105,121.97886657714844,-15.650161743164062
106,114.25804138183594,-15.331247329711914
107,93.5660629272461,-15.01314640045166
108,87.32793426513672,-14.854072570800781
109,110.27336120605469,-15.225775718688965
110,91.91138458251953,-15.252595901489258
111,92.23158264160156,-14.90636157989502
112,97.44300842285156,-15.39460563659668
113,107.78285217285156,-15.384142875671387
114,95.26411437988281,-15.033059120178223
115,95.59762573242188,-15.246227264404297
116,95.10670471191406,-15.251667022705078
117,99.97599792480469,-15.422718048095703
118,93.99652862548828,-15.256223678588867
119,104.0766372680664,-15.708837509155273
120,100.6078109741211,-15.259864807128906
121,73.67799377441406,-14.805253982543945
122,76.37693786621094,-14.963218688964844
123,74.05778503417969,-15.223123550415039
124,89.10963439941406,-15.30548095703125
125,88.17890930175781,-15.307787895202637
126,81.94918060302734,-15.063462257385254
127,71.86479187011719,-15.04034423828125
128,63.328975677490234,-14.691848754882812
129,59.485198974609375,-14.732335090637207
130,74.29695129394531,-15.226709365844727
131,78.43714904785156,-15.275923728942871
132,59.253517150878906,-15.09925651550293
133,70.02296447753906,-15.14830207824707
134,81.88690185546875,-15.069725036621094
135,97.6568832397461,-15.813150405883789
136,66.61799621582031,-15.514261245727539
137,62.7634162902832,-15.333797454833984
138,73.78648376464844,-15.249200820922852
139,68.96446228027344,-15.520435333251953
140,92.4712905883789,-15.494203567504883
141,55.147682189941406,-15.043340682983398
142,66.42477416992188,-15.273567199707031
143,80.99592590332031,-15.60988998413086
144,67.12782287597656,-15.086835861206055
145,63.781272888183594,-15.16938591003418
146,55.6368522644043,-15.014175415039062
147,50.93995666503906,-14.859185218811035
148,59.15802001953125,-15.208621978759766
149,47.991004943847656,-15.430486679077148
150,43.44295120239258,-15.366350173950195
151,44.133548736572266,-14.962287902832031
152,81.08049011230469,-15.742116928100586
153,48.542457580566406,-15.04159164428711
154,89.81365966796875,-15.80923843383789
155,47.20807647705078,-15.23690414428711
156,68.08547973632812,-15.367439270019531
157,52.00263214111328,-15.350976943969727
158,55.936256408691406,-15.185073852539062
159,57.37566375732422,-15.337329864501953
160,60.25408935546875,-15.410768508911133
161,64.07795715332031,-15.117461204528809
162,59.28645324707031,-15.245077133178711
163,62.90511703491211,-15.46841049194336
164,34.853065490722656,-14.688340187072754
165,57.522499084472656,-15.627811431884766
166,45.20268249511719,-15.711706161499023
167,59.71997833251953,-15.007492065429688
168,53.5032844543457,-14.854069709777832
169,51.02177047729492,-14.760889053344727
170,42.64720916748047,-15.210203170776367
171,53.61054992675781,-15.258304595947266
172,53.73188400268555,-14.672615051269531
173,58.67506408691406,-15.025343894958496
174,57.60517883300781,-14.977688789367676
175,43.98744583129883,-15.087967872619629
176,58.10650634765625,-15.30046272277832
177,56.351722717285156,-15.663875579833984
178,65.58677673339844,-15.367972373962402
179,49.449119567871094,-15.40269947052002
180,55.45096969604492,-15.502429962158203
181,52.334144592285156,-15.37160873413086
182,65.9344711303711,-14.88295841217041
183,56.79499816894531,-14.928953170776367
184,84.98230743408203,-15.962130546569824
185,58.998802185058594,-15.165925979614258
186,40.77509307861328,-15.132589340209961
187,47.05518341064453,-14.964902877807617
188,58.30244445800781,-14.879060745239258
189,47.296875,-15.35539722442627
190,53.32399368286133,-14.998291015625
191,47.287933349609375,-15.461800575256348
192,47.08020782470703,-14.862868309020996
