Epoch,Loss,Reward
1,246.45001220703125,-15.489639282226562
2,228.36058044433594,-14.951956748962402
3,225.68397521972656,-14.876065254211426
4,240.13755798339844,-15.341532707214355
5,242.0520782470703,-15.374231338500977
6,232.36932373046875,-15.121847152709961
7,228.81503295898438,-15.03054428100586
8,235.66973876953125,-15.195104598999023
9,227.0036163330078,-14.949975967407227
10,241.80230712890625,-15.315433502197266
11,232.9669952392578,-15.153377532958984
12,249.4017791748047,-15.626668930053711
13,234.6100311279297,-15.201372146606445
14,228.8009796142578,-15.065300941467285
15,247.248779296875,-15.535563468933105
16,220.67974853515625,-14.734319686889648
17,226.3964385986328,-14.940450668334961
18,236.15760803222656,-15.267057418823242
19,236.047119140625,-15.230690956115723
20,232.3638458251953,-15.091141700744629
21,235.12966918945312,-15.165241241455078
22,229.70687866210938,-14.988953590393066
23,255.832275390625,-15.78936767578125
24,228.26422119140625,-14.962425231933594
25,240.77720642089844,-15.391153335571289
26,226.27171325683594,-14.94195556640625
27,252.81033325195312,-15.612571716308594
28,233.92086791992188,-15.218820571899414
29,234.5578155517578,-15.19502067565918
30,239.6588897705078,-15.382349967956543
31,223.89503479003906,-14.846860885620117
32,240.498779296875,-15.302026748657227
33,242.8738555908203,-15.400494575500488
34,244.54489135742188,-15.416683197021484
35,231.81163024902344,-14.95598316192627
36,229.0341033935547,-14.97951889038086
37,234.86013793945312,-15.218825340270996
38,236.35995483398438,-15.183049201965332
39,245.97679138183594,-15.510055541992188
40,251.4455108642578,-15.621969223022461
41,226.34262084960938,-14.827102661132812
42,237.08792114257812,-15.214466094970703
43,251.1803741455078,-15.611324310302734
44,230.08168029785156,-15.13224983215332
45,232.06878662109375,-15.14451789855957
46,243.1158905029297,-15.244917869567871
47,245.57254028320312,-15.589542388916016
48,225.48541259765625,-14.945430755615234
49,235.83935546875,-15.222280502319336
50,238.9038543701172,-15.31418228149414
51,257.6054992675781,-15.79281234741211
52,223.5523223876953,-14.77291488647461
53,237.43865966796875,-15.280010223388672
54,235.86309814453125,-15.14603042602539
55,244.70802307128906,-15.426301002502441
56,233.0911407470703,-15.038956642150879
57,251.06166076660156,-15.601472854614258
58,230.09861755371094,-14.930536270141602
59,246.34559631347656,-15.481197357177734
60,234.5552978515625,-15.18692684173584
61,234.8144073486328,-15.198371887207031
62,229.33673095703125,-14.963096618652344
63,231.27906799316406,-15.12507152557373
64,229.9701690673828,-15.036060333251953
65,252.51512145996094,-15.49661922454834
66,232.3565216064453,-15.223910331726074
67,241.03050231933594,-15.315397262573242
68,255.95042419433594,-15.817764282226562
69,218.78536987304688,-14.652101516723633
70,242.779296875,-15.351391792297363
71,267.6044006347656,-16.08540153503418
72,217.91592407226562,-14.598429679870605
73,224.93885803222656,-14.948909759521484
74,237.86285400390625,-15.229451179504395
75,240.06114196777344,-15.300540924072266
76,237.48818969726562,-15.147836685180664
77,245.78347778320312,-15.566056251525879
78,258.391845703125,-15.816509246826172
79,252.51988220214844,-15.681032180786133
80,245.13356018066406,-15.381519317626953
81,230.98451232910156,-15.096675872802734
82,235.2821807861328,-15.253064155578613
83,243.65492248535156,-15.420797348022461
84,237.91073608398438,-15.114259719848633
85,251.2400360107422,-15.433151245117188
86,260.9989929199219,-15.937969207763672
87,223.59925842285156,-14.92322063446045
88,241.81362915039062,-15.547046661376953
89,231.32330322265625,-15.08882999420166
90,250.30003356933594,-15.663065910339355
91,227.1342010498047,-15.11824893951416
92,252.9423065185547,-15.508408546447754
93,229.58203125,-15.22198486328125
94,253.41824340820312,-15.67430305480957
95,231.55274963378906,-15.059663772583008
96,270.07830810546875,-16.053911209106445
97,224.96192932128906,-15.104450225830078
98,238.6578826904297,-15.122608184814453
99,220.5299072265625,-14.757463455200195
100,241.73947143554688,-15.33071231842041
101,243.97994995117188,-15.26571273803711
102,243.59544372558594,-15.24424934387207
103,235.43386840820312,-15.071599960327148
104,230.83396911621094,-15.139754295349121
105,253.038330078125,-15.650161743164062
106,246.59129333496094,-15.331247329711914
107,227.49974060058594,-15.01314640045166
108,216.70704650878906,-14.854072570800781
109,240.78623962402344,-15.225775718688965
110,234.9937744140625,-15.252595901489258
111,229.6478271484375,-14.90636157989502
112,241.9285888671875,-15.39460563659668
113,239.19927978515625,-15.384142875671387
114,228.12657165527344,-15.033059120178223
115,240.72821044921875,-15.246227264404297
116,241.35862731933594,-15.251667022705078
117,248.17578125,-15.422718048095703
118,240.77560424804688,-15.256223678588867
