Proposed (SDH-PPO),PPO Standard,DQN,DDQN,Static
7.030401299033285,7.260828099818349,7.44753,7.522005300000001,7.9559355964556495
6.60275863673383,6.8371518346740485,6.944393,6.944393,6.80605375857967
6.011747173471026,6.161117994106277,6.2484603,6.310944902999999,6.202873991336521
6.353153894454081,6.566369956227125,6.6507497,6.717257197,6.676886042350231
6.266600636847012,6.813838093971744,6.5484743,6.5484743,6.049290609496139
6.497127843676423,6.639839617677724,6.8201494,6.888350894,7.039353425844891
6.814462782268239,7.049978880897164,7.1934285,7.265362785,7.4255518739629105
6.619023574518103,6.780695077721691,6.963557,7.03319257,7.408947200926348
6.251186577013209,6.388195248659193,6.530785,6.59609285,6.87602747837235
6.854088188825793,7.029104310040212,7.240102,7.31250302,7.395927758876727
6.34031719227167,7.057047367639628,6.6356587,6.6356587,6.327967841843946
6.648978920277109,7.1993156001036045,6.998791,6.998791,4.185612278615822
6.535367410769454,6.752678604612356,6.8651195,6.933770695,7.177935254776148
6.451577884131969,6.599538379246371,6.7664714,6.7664714,6.313106314914762
6.8426697289514555,7.081686074210285,7.22659,7.298855899999999,7.018441607604417
6.742756249242111,6.941132578154036,7.1091247,7.1091247,6.074843314196151
6.5831034329833855,6.757619876398961,6.9212694,6.9212694,7.019784283150299
6.436660037487769,6.6386548580971,6.749004,6.81649404,7.113135114242319
6.243088313304789,6.435686896992692,6.5212803,6.586493103,6.878721422414459
6.56743119917827,6.870837980117023,6.902859,6.971887590000001,6.935257892566463
6.781996479866371,6.9927608343952175,7.1552896,7.226842496,7.712241575318025
6.534912999692768,6.831087067082703,6.864541,6.93318641,7.0158740712724414
6.380984605,6.919504668949864,6.6835113,6.750346413,7.093653820561427
6.291858721401229,6.447288594354201,6.5786495,6.5786495,6.2127017586723605
6.706499032973504,7.139828018462705,7.066348,7.066348,7.253261055316727
6.8327050367972495,7.150237934663558,7.214932,7.214932,7.196293292959168
6.483732845204223,6.646426284103894,6.804386,6.87242986,7.238785698530783
