P1,P2,P4
6.592794897,58.92422113,7.110230926000001
6.19766805,83.80202805,7.6062180900000005
6.4700894,45.451683,6.608264
5.5998483,70.22864,6.689739
6.058861729999999,100.43049534,6.9717640670000005
5.7272205,76.21928,7.34312
5.992619,67.37405,7.549616
5.725607,85.94498,7.255375
6.292,69.35038,6.58045
6.048409644,65.4330621,7.1063145500000005
6.0176597,59.559166,6.961305
6.476435,62.51413,7.1529245
6.32152435,79.0202386,7.08618222
6.021446,69.94671,6.547589
6.067329,80.84352,6.8684063
6.26111726,66.04255064,6.6880634500000005
6.034656,74.993484,7.060113
5.97456309,58.106616030000005,6.832091167
6.167051,85.41379,7.1948357
5.975343416,57.501596740000004,6.448436506
5.8477097,83.16215,6.7849765
6.158584,74.34643,6.884008
6.0266314,119.54011,7.3614674
6.455871,80.405685,6.759088
6.2467194,57.372864,6.5121155
6.022213880000001,77.63482665,7.260868487
5.869461,69.716675,6.5009375
6.091628,73.38948,6.5638685
5.7024326,117.50416,7.0934486
5.846376617,64.2248092,6.877534097000001
5.7391324,82.78117,6.3460097
6.2974954400000005,52.5831553,6.657908485999999
5.031072,102.50968,6.926399
5.80820195,102.45975805,6.996544114000001
6.0022973870000005,56.4100554,6.68572833
6.096422822,64.61965860000001,7.126786543000001
6.1116476,59.08802,6.7930484
6.39207,69.33396,6.947344
6.292384335,61.882472750000005,6.942924830000001
5.866527,63.27932,6.8475327
6.133411143,58.1683846,6.444048157
6.273692,79.038826,6.4107227
6.076523903,60.3347538,6.7911605129999995
5.729063804000001,57.7502446,7.050757884
5.98849301,66.58629525,6.71563443
5.83092392,56.80309185,6.615258913
6.542538,62.009354,6.983275
6.112356,76.02502,6.830982
6.2725887,87.31035,6.564284
6.0787973,81.64308,6.6983047
5.978920735,52.288134299999996,6.9779031499999995
6.39849443,85.4600996,7.116331427
5.9403941840000005,76.6738773,7.136764534999999
6.293232937,89.0333483,6.985422600000001
6.2139297,64.741394,6.8206787
5.6222916,63.136482,6.7184124
6.283373,85.79019,6.901745
6.745549115,51.9393611,6.69524859
6.301544934,68.458608,6.500706127
5.38549,98.47003,7.182956
5.92260162,78.14411410000001,6.98963834
6.07042825,65.0891571,7.007519885
6.16808111,84.3216579,6.55899959
6.510918136,67.16563226,6.683756204
