Epoch,Loss,Reward
1,244.69326782226562,-15.489639282226562
2,228.5168914794922,-14.951956748962402
3,225.71221923828125,-14.876065254211426
4,238.64364624023438,-15.341532707214355
5,241.74270629882812,-15.374231338500977
6,233.71498107910156,-15.121847152709961
7,229.33432006835938,-15.03054428100586
8,234.89613342285156,-15.195104598999023
9,228.0670623779297,-14.949975967407227
10,240.76060485839844,-15.315433502197266
11,233.18690490722656,-15.153377532958984
12,250.09544372558594,-15.626668930053711
13,236.37986755371094,-15.201372146606445
14,230.43397521972656,-15.065300941467285
15,246.60491943359375,-15.535563468933105
16,220.44126892089844,-14.734319686889648
17,227.2859344482422,-14.940450668334961
18,238.31036376953125,-15.267057418823242
19,236.7908935546875,-15.230690956115723
20,231.6686248779297,-15.091141700744629
21,234.03941345214844,-15.165241241455078
22,228.9071807861328,-14.988953590393066
23,254.36219787597656,-15.78936767578125
24,230.04367065429688,-14.962425231933594
25,242.89175415039062,-15.391153335571289
26,227.07154846191406,-14.94195556640625
27,248.5251007080078,-15.612571716308594
28,236.3848876953125,-15.218820571899414
29,234.38348388671875,-15.19502067565918
30,241.16648864746094,-15.382349967956543
31,224.01280212402344,-14.846860885620117
32,238.4952850341797,-15.302026748657227
33,244.3204345703125,-15.400494575500488
34,241.97439575195312,-15.416683197021484
35,227.5628662109375,-14.95598316192627
36,230.39764404296875,-14.97951889038086
37,236.29795837402344,-15.218825340270996
38,235.45504760742188,-15.183049201965332
39,246.99131774902344,-15.510055541992188
40,248.61752319335938,-15.621969223022461
41,222.71620178222656,-14.827102661132812
42,237.67758178710938,-15.214466094970703
43,250.31936645507812,-15.611324310302734
44,232.72354125976562,-15.13224983215332
45,233.00511169433594,-15.14451789855957
46,236.09983825683594,-15.244917869567871
47,246.67355346679688,-15.589542388916016
48,228.60646057128906,-14.945430755615234
49,234.71644592285156,-15.222280502319336
50,237.42922973632812,-15.31418228149414
51,255.4365997314453,-15.79281234741211
52,220.8668212890625,-14.77291488647461
53,240.04345703125,-15.280010223388672
54,231.7037811279297,-15.14603042602539
55,241.26837158203125,-15.426301002502441
56,231.4937744140625,-15.038956642150879
57,248.08279418945312,-15.601472854614258
58,227.1335906982422,-14.930536270141602
59,245.97259521484375,-15.481197357177734
60,234.12600708007812,-15.18692684173584
61,236.71969604492188,-15.198371887207031
62,228.23370361328125,-14.963096618652344
63,232.88824462890625,-15.12507152557373
64,230.6927490234375,-15.036060333251953
65,245.62269592285156,-15.49661922454834
66,235.09056091308594,-15.223910331726074
67,238.3249969482422,-15.315397262573242
68,252.78204345703125,-15.817764282226562
69,218.71951293945312,-14.652101516723633
70,241.67332458496094,-15.351391792297363
71,263.8329772949219,-16.08540153503418
72,218.4849853515625,-14.598429679870605
73,228.0638885498047,-14.948909759521484
74,237.1692657470703,-15.229451179504395
75,239.6824951171875,-15.300540924072266
76,231.66419982910156,-15.147836685180664
77,248.87452697753906,-15.566056251525879
78,254.2334442138672,-15.816509246826172
79,251.14247131347656,-15.681032180786133
80,242.08438110351562,-15.381519317626953
81,233.21493530273438,-15.096675872802734
82,239.47962951660156,-15.253064155578613
83,241.5814971923828,-15.420797348022461
84,231.56875610351562,-15.114259719848633
85,242.33656311035156,-15.433151245117188
86,257.7903747558594,-15.937969207763672
87,226.2559814453125,-14.92322063446045
88,245.9537811279297,-15.547046661376953
89,231.5371856689453,-15.08882999420166
90,250.68016052246094,-15.663065910339355
91,232.01617431640625,-15.11824893951416
92,246.2537384033203,-15.508408546447754
93,234.78033447265625,-15.22198486328125
94,249.293212890625,-15.67430305480957
95,230.0623779296875,-15.059663772583008
96,262.5873718261719,-16.053911209106445
97,230.89207458496094,-15.104450225830078
98,231.966796875,-15.122608184814453
99,220.7093505859375,-14.757463455200195
100,238.44003295898438,-15.33071231842041
101,238.5485382080078,-15.26571273803711
102,236.73419189453125,-15.24424934387207
103,231.45472717285156,-15.071599960327148
104,234.49888610839844,-15.139754295349121
105,248.27134704589844,-15.650161743164062
106,236.49720764160156,-15.331247329711914
107,228.13978576660156,-15.01314640045166
108,224.4618377685547,-14.854072570800781
109,236.73358154296875,-15.225775718688965
110,237.4753875732422,-15.252595901489258
111,225.04791259765625,-14.90636157989502
112,241.20004272460938,-15.39460563659668
113,238.53976440429688,-15.384142875671387
114,230.43572998046875,-15.033059120178223
115,238.2635040283203,-15.246227264404297
116,236.9054412841797,-15.251667022705078
117,238.67904663085938,-15.422718048095703
118,235.8374481201172,-15.256223678588867
119,250.6476593017578,-15.708837509155273
120,237.71945190429688,-15.259864807128906
121,224.91912841796875,-14.805253982543945
122,229.08340454101562,-14.963218688964844
123,235.22982788085938,-15.223123550415039
124,236.08363342285156,-15.30548095703125
125,239.912353515625,-15.307787895202637
126,228.5706329345703,-15.063462257385254
127,231.4909210205078,-15.04034423828125
128,219.06536865234375,-14.691848754882812
129,219.560302734375,-14.732335090637207
130,237.98690795898438,-15.226709365844727
131,238.8919677734375,-15.275923728942871
132,232.22972106933594,-15.09925651550293
133,234.24081420898438,-15.14830207824707
134,230.40301513671875,-15.069725036621094
135,252.38351440429688,-15.813150405883789
136,246.23483276367188,-15.514261245727539
137,239.58599853515625,-15.333797454833984
138,233.84857177734375,-15.249200820922852
139,246.7648162841797,-15.520435333251953
140,243.2054443359375,-15.494203567504883
141,230.79266357421875,-15.043340682983398
142,237.00108337402344,-15.273567199707031
143,248.58995056152344,-15.60988998413086
144,231.40151977539062,-15.086835861206055
145,234.20777893066406,-15.16938591003418
146,230.0489959716797,-15.014175415039062
147,223.40847778320312,-14.859185218811035
148,235.34451293945312,-15.208621978759766
149,241.5574188232422,-15.430486679077148
150,241.3836212158203,-15.366350173950195
151,229.58299255371094,-14.962287902832031
152,251.63555908203125,-15.742116928100586
153,229.8003387451172,-15.04159164428711
154,252.29148864746094,-15.80923843383789
155,234.6742401123047,-15.23690414428711
156,242.90757751464844,-15.367439270019531
157,236.74476623535156,-15.350976943969727
158,234.4989471435547,-15.185073852539062
159,238.1849822998047,-15.337329864501953
160,240.96817016601562,-15.410768508911133
161,235.90675354003906,-15.117461204528809
162,235.62266540527344,-15.245077133178711
163,241.74490356445312,-15.46841049194336
