P1,P2,P4
6.04718,61.877808,6.8623466
6.3738346,62.977295,6.6246753
5.8832026,89.14943,6.928641
6.1435776,63.225655,6.7083616
5.7367706,92.72287,7.4050555
6.204472,67.87624,6.630418
6.291391,82.89765,7.0068026
6.2516704,63.348846,6.049134
6.1154723,78.54282,7.351801
6.1677823,56.430573,6.948891
6.308511,79.972176,6.6501966
6.164027,71.46105,6.6999025
6.0419936,72.27783,6.8582344
5.810462,74.932335,6.751566
6.4709816,72.04292,6.945255
6.0955663,68.21744,7.139711
5.9762115,70.476685,6.7363806
5.656989,64.411835,6.6354527
6.0754113,73.061516,6.566928
5.966499,56.13147,6.436324
5.9165387,100.1643,6.618701
6.0803795,64.75853,6.752227
6.3964252,89.13494,6.9767404
5.722201,70.28479,7.0172915
6.3690047,71.244514,6.665871
6.109618,51.900642,6.874222
6.2868524,62.65187,6.6587334
6.435036,44.349693,6.5236006
6.214,48.389503,6.6585116
6.235393,84.058044,6.9632263
5.941195,75.73145,7.2842197
6.3987074,56.13114,6.993827
5.6600366,66.88246,6.9304104
6.5348263,65.7692,6.8174367
5.945653,65.21251,7.0091314
6.0014563,76.20871,6.7902403
6.2723007,59.349678,6.6420817
5.6717143,74.05352,6.969385
5.9925046,76.72477,7.2921047
5.9101267,52.781418,6.7470083
5.4308167,78.324104,6.809601
6.4802647,61.24253,6.930301
6.001812,56.627373,6.988914
6.140245,77.62861,6.661411
6.0541344,79.98588,7.03631
6.2691584,72.687035,6.87939
6.215941,49.070976,6.7988834
5.7090883,78.11327,6.9901075
6.003563,58.550217,6.949412
5.7829657,75.42225,7.2884026
6.023544,81.35709,7.5160275
6.190647,87.01938,7.1441813
5.727975,62.016304,7.331202
6.0484304,76.15344,7.0242486
6.1969643,58.97834,6.47636
5.6416407,94.07521,7.541428
6.0220985,63.72937,7.0285153
6.3267813,67.205246,6.9268293
5.9108357,67.920845,7.214326
5.6283536,71.61171,6.8222575
5.93829,70.62268,6.802061
6.3491964,69.85295,7.156202
6.30568,48.28631,6.5343595
6.406766,71.850525,6.817077
6.1096277,60.755478,7.1509175
5.962049,52.30652,6.6602836
5.9964213,71.97756,6.589989
6.0806656,74.049095,6.60593
6.493737,72.87558,7.1565285
5.8998356,68.065956,7.089258
5.827377,76.54224,7.053543
6.3248053,54.7248,6.5677032
6.0246077,63.563774,7.5274715
6.1211915,47.076767,6.8506975
5.5951614,62.33439,7.135703
6.7015886,73.98787,6.7893543
6.012175,81.36915,7.144513
6.189189,62.499496,6.8556905
5.920265,78.88133,7.338561
5.7864456,73.12154,6.8908668
5.427984,90.46888,6.968503
5.8841825,72.5803,6.7302914
6.2044897,95.109566,7.214576
5.9949374,73.41745,6.675399
6.066542,66.0896,6.9539824
5.834068,68.75563,6.702861
6.1936407,102.80324,6.6076784
5.8382883,77.11127,7.003676
6.054193,66.4933,7.029554
5.6568294,70.85983,6.5163574
6.107386,53.69577,6.928691
6.061496,60.653954,7.0134654
6.431218,99.65489,7.399932
5.857134,89.06291,6.949096
6.109033,105.140236,7.4538755
6.0325594,62.491463,7.262048
6.0382533,60.805443,7.0853624
6.35168,75.95937,7.0450644
6.4127245,64.228485,6.5556808
6.46117,48.072014,6.8043575
5.6212077,111.66323,7.248216
6.249036,53.435547,7.196276
6.3340917,77.67651,6.8100986
6.46588,49.93315,6.7560086
6.1507397,52.200783,6.907087
6.06126,70.61312,6.728641
5.8856564,74.15079,7.1203327
6.0258765,88.749275,7.150211
6.0607657,77.90401,6.872879
6.0292087,65.7378,6.4222116
6.2732034,65.70035,6.7782607
6.1728973,72.82048,6.95663
6.023126,82.93666,6.7430816
5.9496565,90.319176,6.8609095
6.099971,72.720406,7.200251
5.7270103,90.181915,6.8993382
6.440763,74.318954,6.6214657
6.0398936,85.653244,6.84806
5.8013797,78.42428,6.6763473
5.9861345,78.52631,6.8002005
6.295113,51.452072,6.949166
5.9771004,90.20741,7.2739544
6.0591116,81.76011,6.549188
5.967613,76.52647,6.8446507
5.7176695,83.23083,6.966024
6.1626973,63.726013,6.673703
5.853841,73.67171,6.2398753
6.2033277,84.375114,7.0178037
6.2390523,70.13085,7.1313176
5.813306,81.38871,6.9043827
6.097361,65.22991,6.996853
6.3808923,54.673523,6.619701
6.5198355,81.90199,6.9596105
6.1675186,70.1569,7.0051537
5.841644,81.84589,6.8447585
6.2241516,92.752464,7.028697
6.3020115,66.13788,6.9902544
6.050254,68.074745,6.5157666
6.44267,62.496475,6.718603
5.6467075,52.82876,6.894738
6.197009,55.296127,6.9979134
5.6408534,84.22375,7.1095877
6.3343644,78.18584,7.2990794
6.515801,71.72879,6.587401
5.719316,75.73013,7.557438
6.004654,66.48243,6.73007
5.8651395,87.47378,6.593618
5.834203,70.95846,6.936525
5.814855,80.36244,7.3248076
6.173582,50.18184,6.7604156
6.118526,75.63311,7.107119
6.3725367,74.136505,7.2897053
6.6628857,93.055336,7.034513
6.2395515,58.132576,7.15861
5.942192,62.565567,6.9068937
6.1340804,56.353714,7.3079567
6.6619153,79.89733,7.133435
5.722945,69.639725,7.53049
6.0265017,58.673035,6.8095975
5.333983,85.362114,7.336036
6.245099,62.36207,7.032154
5.6537285,76.16904,7.2862067
5.9467397,84.408134,6.874139
6.048829,82.32668,6.477742
6.0562572,76.0296,6.9280424
5.8733535,78.519424,6.9305105
5.8225446,55.371063,6.745228
6.6060767,50.922333,6.869565
6.2953415,83.24101,7.5325522
5.8695345,66.172165,6.763506
6.13682,53.257294,6.680049
5.866437,63.45173,6.994007
