timestamp,rx_bytes,tx_bytes,rx_mbps,tx_mbps
2026-01-14T05:46:50Z,33486405803,29532254106,4.55992,4.72176
2026-01-14T05:46:51Z,33486982619,29532858546,4.614528,4.83552
2026-01-14T05:46:52Z,33487552719,29533448706,4.5608,4.72128
2026-01-14T05:46:53Z,33488142339,29534062566,4.71696,4.91088
2026-01-14T05:46:54Z,33488693933,29534641146,4.412752,4.62864
2026-01-14T05:46:55Z,33489257826,29535239346,4.511144,4.7856
2026-01-14T05:46:56Z,33489815760,29535823026,4.463472,4.66944
2026-01-14T05:46:57Z,33490399061,29536446606,4.666408,4.98864
2026-01-14T05:46:58Z,33490950055,29537020446,4.407952,4.59072
2026-01-14T05:46:59Z,33491502279,29537598846,4.417792,4.6272
2026-01-14T05:47:00Z,33492070842,29538180486,4.548504,4.65312
2026-01-14T05:47:01Z,33492652443,29538795306,4.652808,4.91856
2026-01-14T05:47:02Z,33493209060,29539391226,4.452936,4.76736
2026-01-14T05:47:03Z,33493757752,29539969866,4.389536,4.62912
2026-01-14T05:47:04Z,33494313056,29540558226,4.442432,4.70688
2026-01-14T05:47:05Z,33494898549,29541170886,4.683944,4.90128
2026-01-14T05:47:06Z,33495453557,29541762006,4.440064,4.72896
