timestamp,port,rx_bytes,tx_bytes
2026-01-13T19:04:15Z,2,19549384254,17121121156
2026-01-13T19:04:16Z,2,19549932100,17121447916
2026-01-13T19:04:17Z,2,19550479620,17121870856
2026-01-13T19:04:18Z,2,19551074454,17122393036
2026-01-13T19:04:19Z,2,19551564164,17123212336
2026-01-13T19:04:20Z,2,19551978360,17123986336
2026-01-13T19:04:21Z,2,19552437538,17124830656
2026-01-13T19:04:22Z,2,19552852050,17125619056
2026-01-13T19:04:23Z,2,19553397365,17126159656
2026-01-13T19:04:24Z,2,19553949916,17126743336
2026-01-13T19:04:25Z,2,19554541952,17127242116
2026-01-13T19:04:26Z,2,19555090407,17127767416
2026-01-13T19:04:27Z,2,19555651894,17128261396
2026-01-13T19:04:28Z,2,19556244457,17128749796
2026-01-13T19:04:29Z,2,19556793540,17129243116
2026-01-13T19:04:30Z,2,19557345184,17129822476
2026-01-13T19:04:31Z,2,19557935483,17130408436
2026-01-13T19:04:32Z,2,19558484197,17131022356
2026-01-13T19:04:33Z,2,19559038347,17131565536
2026-01-13T19:04:34Z,2,19559586827,17132058976
2026-01-13T19:04:35Z,2,19560176459,17132654836
2026-01-13T19:04:36Z,2,19560727419,17132961436
2026-01-13T19:04:37Z,2,19561276005,17133428416
2026-01-13T19:04:38Z,2,19561868649,17133836716
2026-01-13T19:04:39Z,2,19562421793,17134333096
2026-01-13T19:04:40Z,2,19562970695,17134793236
2026-01-13T19:04:41Z,2,19563536912,17135319736
2026-01-13T19:04:42Z,2,19564138580,17135867176
2026-01-13T19:04:43Z,2,19564697164,17136328096
2026-01-13T19:04:44Z,2,19565252356,17136854896
2026-01-13T19:04:45Z,2,19565852722,17137448236
2026-01-13T19:04:46Z,2,19566402329,17137959496
2026-01-13T19:04:47Z,2,19566950361,17138460376
2026-01-13T19:04:48Z,2,19567547334,17139050656
2026-01-13T19:04:50Z,2,19568096242,17139490276
2026-01-13T19:04:51Z,2,19568645273,17140054456
2026-01-13T19:04:52Z,2,19569196361,17140417336
2026-01-13T19:04:53Z,2,19569786811,17140916296
2026-01-13T19:04:54Z,2,19570339378,17141146096
2026-01-13T19:04:55Z,2,19570890338,17141673856
2026-01-13T19:04:56Z,2,19571480433,17142177916
2026-01-13T19:04:57Z,2,19572029731,17142681616
2026-01-13T19:04:58Z,2,19572579905,17143182736
2026-01-13T19:04:59Z,2,19573173801,17143708816
