algo,arm,label,p_mannwhitney,p_welch,p_holm,effect_rank_biserial,verdict
sdhppo,no_mask,Proposed w/o safety layer,0.00018267179110955002,5.312573476212631e-05,0.00036534358221910004,-1.0,Proposed better
sdhppo,no_dueling,Proposed w/o dueling critic,0.9698499769931556,0.8363849291180874,0.9698499769931556,0.02,no significant difference
