algo,arm,seed,reward,viol_p1,delay_p1,drop_p1,viol_p2,delay_p2,drop_p2,viol_p4,delay_p4,drop_p4,viol_total
const_max,full,0,-28.947225932857144,16.650000000000002,30.631563500000002,0.44300721000000004,15.55,30.664784,0.44345333000000003,99.275,162.73068000000006,0.59025015,43.82500000000001
const_max,full,1,-29.019882324952384,16.775000000000002,30.933567000000004,0.4525191200000001,15.725,30.875538499999998,0.4528016560000001,98.925,162.623509,0.6069619679999999,43.80833333333334
const_max,full,2,-27.927702123333336,15.45,27.895258000000002,0.40151040200000004,14.325,27.9250665,0.40144420000000003,99.125,159.84793100000002,0.535694838,42.96666666666667
const_max,full,3,-27.29237247666667,12.425,22.5294125,0.32068539400000007,11.450000000000001,22.533773500000002,0.3209556,99.15,163.59838200000004,0.43936206600000005,41.00833333333333
const_max,full,4,-26.92213727219048,12.375,22.606665500000002,0.326246024,11.450000000000001,22.612167000000003,0.32648315,99.02499999999999,160.76959000000002,0.44613992199999997,40.949999999999996
const_max,full,5,-27.28758219809524,13.625000000000002,24.6977895,0.35470274800000007,12.55,24.696257499999998,0.35467066199999997,98.825,160.19159950000002,0.48206940000000004,41.666666666666664
const_max,full,6,-29.325511258380953,17.825,32.869991,0.476942002,16.725,32.8555845,0.47762633400000004,99.0,161.87817600000002,0.63847587,44.51666666666667
const_max,full,7,-29.97349950971429,18.4,33.9687165,0.49717975600000003,17.2,33.8807655,0.49761837200000003,99.1,164.65894,0.664011596,44.9
const_max,full,8,-28.287116021809524,15.6,28.5489165,0.41370078400000004,14.499999999999998,28.530555500000002,0.41391654600000005,98.97500000000001,161.22490200000001,0.558772968,43.025000000000006
const_max,full,9,-28.89083394676191,16.1,29.647008999999997,0.42741404,15.2,29.769999,0.42760251600000004,99.47500000000001,163.87869350000003,0.5707472359999999,43.59166666666667
ddqn,full,0,-14.74827729502924,17.474999999999998,32.28079579767747,0.5505227266857824,99.45,198.75695674680827,3.1556524149047323,36.525,29.935009614157156,0.09630512707402362,51.15
ddqn,full,1,-13.316518186049146,47.65,46.19999768848239,0.5458423139777515,99.625,199.36072042665174,2.5729108978291695,6.525,8.058628728894705,0.059121739103410585,51.26666666666667
ddqn,full,2,-12.95756637851716,17.4,24.964725155862297,0.21368534493095467,97.475,194.8261225764586,3.1448401493462415,16.275000000000002,25.888342235253667,0.27355706462020757,43.71666666666667
ddqn,full,3,-10.278180759093356,9.375,12.886510804490408,0.01944485413929742,99.675,199.372243125,2.5673210016467536,20.625,25.56745375399337,0.3566160773381769,43.225
ddqn,full,4,-14.518938923529838,8.55,12.774325995017271,0.015339142245645025,98.725,197.3880807987084,3.054830094286852,60.775,54.75820577531191,0.38020044691848853,56.01666666666666
ddqn,full,5,-11.757348692590941,11.1,20.92010606117665,0.09163024110816619,99.575,199.207913125,2.703469859104107,14.975,25.09427773013396,0.3070052849123675,41.88333333333333
ddqn,full,6,-17.18041333575364,15.125,28.36156258826162,0.2448707518012071,99.55000000000001,198.78452261091246,3.29993863150902,24.15,46.64891398203283,0.7935089513946947,46.275000000000006
ddqn,full,7,-12.521515359246713,7.3999999999999995,7.867218635651653,0.019448128083879537,99.575,199.15245971080012,3.1129426633300223,34.849999999999994,42.372296472741475,0.6207876122474345,47.275
ddqn,full,8,-13.788382625287719,20.25,33.661751001901386,0.4529997241651611,96.89999999999999,193.47525949844163,2.2654732120700336,15.0,26.48313420347101,0.241677908325034,44.04999999999999
ddqn,full,9,-13.52887620202456,32.25,38.17941100004899,0.46319767756825303,99.5,198.66535141128142,3.1225020907033376,11.600000000000001,14.956424459137317,0.051539707149660705,47.78333333333333
demand_prop,full,0,-11.358345257999634,17.549999999999997,32.00212489613119,0.48112961898090645,16.2,32.02175666816843,0.4813210041785582,17.95,32.5541852356802,0.4832442448886861,17.233333333333334
demand_prop,full,1,-11.467464854084373,17.525,32.282064807721085,0.49045338630857627,16.275000000000002,32.200212857987665,0.4903981311299247,18.275,32.807503575893016,0.4923084964896965,17.35833333333333
