algo,arm,label,p_mannwhitney,p_welch,p_holm,effect_rank_biserial,verdict
ppo,full,PPO Standard,0.00018267179110955002,1.6191478707837613e-05,0.0012787025377668502,-1.0,Proposed better
ddqn,full,DDQN,0.00018267179110955002,1.8794016998788255e-08,0.0012787025377668502,-1.0,Proposed better
dqn,full,DQN,0.00018267179110955002,9.458931717734345e-08,0.0012787025377668502,-1.0,Proposed better
demand_prop,full,Demand Proportional,0.00018267179110955002,3.353233856914879e-06,0.0012787025377668502,1.0,Proposed WORSE
threshold,full,Threshold,0.00018267179110955002,6.788875342828846e-10,0.0012787025377668502,-1.0,Proposed better
const_max,full,Const Max,0.00018267179110955002,9.653612472713528e-07,0.0012787025377668502,-1.0,Proposed better
no_control,full,No Control,0.00018267179110955002,9.653612472713528e-07,0.0012787025377668502,-1.0,Proposed better
