timestamp,rx_mbps_p1,demand_mbps_p1,rx_pps_p1,util_rx_p1,drop_p1,loss_pct_p1,rx_mbps_p2,demand_mbps_p2,rx_pps_p2,util_rx_p2,drop_p2,loss_pct_p2,rx_mbps_p4,demand_mbps_p4,rx_pps_p4,util_rx_p4,drop_p4,loss_pct_p4
2026-01-29T09:56:55Z,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,0.2842,0.00,0.00,100.00,296,0.0000,0.0726,0.00,0.00,100.00,605
2026-01-29T09:57:05Z,0.0000,2.2853,0.00,0.00,100.00,19044,0.0000,22.2278,0.00,0.00,100.00,23154,0.0000,7.8731,0.00,0.00,100.00,65609
2026-01-29T09:57:15Z,0.0000,2.2856,0.00,0.00,100.00,19047,0.0000,19.5197,0.00,0.00,100.00,20333,0.0000,7.3346,0.00,0.00,100.00,61122
2026-01-29T09:57:25Z,0.0000,2.2426,0.00,0.00,100.00,18688,0.0000,23.0525,0.00,0.00,100.00,24013,0.0000,7.7807,0.00,0.00,100.00,64839
2026-01-29T09:57:35Z,0.0000,2.2522,0.00,0.00,100.00,18768,0.0000,23.0957,0.00,0.00,100.00,24058,0.0000,7.8042,0.00,0.00,100.00,65035
2026-01-29T09:57:46Z,0.0000,2.2952,0.00,0.00,100.00,19127,0.0000,23.0573,0.00,0.00,100.00,24018,0.0000,7.6782,0.00,0.00,100.00,63985
2026-01-29T09:57:56Z,0.0000,2.5782,0.00,0.00,100.00,21485,0.0000,21.7853,0.00,0.00,100.00,22693,0.0000,7.5280,0.00,0.00,100.00,62733
2026-01-29T09:58:06Z,0.0000,2.2302,0.00,0.00,100.00,18585,0.0000,22.2490,0.00,0.00,100.00,23176,0.0000,7.5617,0.00,0.00,100.00,63014
2026-01-29T09:58:16Z,0.0000,2.1760,0.00,0.00,100.00,18133,0.0000,20.7293,0.00,0.00,100.00,21593,0.0000,7.0992,0.00,0.00,100.00,59160
