timestamp,s_pps_p1,s_util_p1,s_pps_p2,s_util_p2,s_pps_p4,s_util_p4,action_id,reward,sim_delay_p1,sim_delay_p2,sim_delay_p4
2026-01-19T08:01:38Z,0.3865243495663776,0.3829253852459695,0.38135927435257,0.3807513692944358,0.4373015873015873,0.435477628703254,3,100.5814,6.59,6.59,2.42
2026-01-19T08:01:39Z,0.3609072715143429,0.3612503829688574,0.35519915866964635,0.3583994480855467,0.4343101343101343,0.4359509698275862,0,-67.2512,89.27,2.11,21.48
2026-01-19T08:01:39Z,0.3609072715143429,0.3612503829688574,0.35519915866964635,0.3583994480855467,0.4343101343101343,0.4359509698275862,1,-28.3466,89.27,29.58,2.1
2026-01-19T08:01:39Z,0.3609072715143429,0.3612503829688574,0.35519915866964635,0.3583994480855467,0.4343101343101343,0.4359509698275862,2,-65.5063,2.15,29.58,21.48
2026-01-19T08:01:39Z,0.3609072715143429,0.3612503829688574,0.35519915866964635,0.3583994480855467,0.4343101343101343,0.4359509698275862,3,101.8064,6.25,6.25,2.42
2026-01-19T08:01:40Z,0.3847898599066044,0.38054683812630935,0.37932167740239253,0.3781586406035847,0.3960927960927961,0.3939782282054395,0,-61.9896,95.0,2.11,9.19
2026-01-19T08:01:40Z,0.3847898599066044,0.38054683812630935,0.37932167740239253,0.3781586406035847,0.3960927960927961,0.3939782282054395,1,-28.6353,95.0,32.55,2.09
2026-01-19T08:01:40Z,0.3847898599066044,0.38054683812630935,0.37932167740239253,0.3781586406035847,0.3960927960927961,0.3939782282054395,2,-60.4986,2.15,32.55,9.19
2026-01-19T08:01:40Z,0.3847898599066044,0.38054683812630935,0.37932167740239253,0.3781586406035847,0.3960927960927961,0.3939782282054395,3,101.5884,6.54,6.54,2.32
2026-01-19T08:01:42Z,0.38812541694462976,0.3889793983455746,0.38267385303010387,0.38638924913225964,0.43797313797313797,0.4401560223409422,0,-67.4857,97.51,2.11,21.93
2026-01-19T08:01:42Z,0.38812541694462976,0.3889793983455746,0.38267385303010387,0.38638924913225964,0.43797313797313797,0.4401560223409422,1,-28.8418,97.51,33.78,2.1
