timestamp,s_pps_p1,s_util_p1,s_pps_p2,s_util_p2,s_pps_p4,s_util_p4,action_id,reward,sim_delay_p1,sim_delay_p2,sim_delay_p4
2026-01-19T07:45:19Z,0.38539026014773914,0.3862266981218247,0.37991323778231145,0.3838594912761648,0.43614163611500967,0.43889673705670856,0,-145.6133,96.69,2.11,21.8
2026-01-19T07:45:19Z,0.38539026014773914,0.3862266981218247,0.37991323778231145,0.3838594912761648,0.43614163611500967,0.43889673705670856,1,82.2704,96.69,33.4,2.1
2026-01-19T07:45:19Z,0.38539026014773914,0.3862266981218247,0.37991323778231145,0.3838594912761648,0.43614163611500967,0.43889673705670856,2,-145.6133,2.16,33.4,21.8
2026-01-19T07:45:19Z,0.38539026014773914,0.3862266981218247,0.37991323778231145,0.3838594912761648,0.43614163611500967,0.43889673705670856,3,69.1453,6.65,6.66,2.43
2026-01-19T07:45:20Z,0.39152768509729635,0.3940620237963084,0.3859602996985697,0.3912661082531934,0.440415140388253,0.44371172041983115,0,-145.7112,99.02,2.11,22.32
2026-01-19T07:45:20Z,0.39152768509729635,0.3940620237963084,0.3859602996985697,0.3912661082531934,0.440415140388253,0.44371172041983115,1,82.2621,99.02,34.52,2.1
2026-01-19T07:45:20Z,0.39152768509729635,0.3940620237963084,0.3859602996985697,0.3912661082531934,0.440415140388253,0.44371172041983115,2,-145.7112,2.16,34.52,22.32
2026-01-19T07:45:20Z,0.39152768509729635,0.3940620237963084,0.3859602996985697,0.3912661082531934,0.440415140388253,0.44371172041983115,3,69.013,6.84,6.84,2.45
2026-01-19T07:45:21Z,0.38572381585151944,0.382867962083027,0.3798475088484391,0.37997398574205754,0.436019535992917,0.43487855945107656,0,-145.5281,95.69,2.11,21.36
2026-01-19T07:45:21Z,0.38572381585151944,0.382867962083027,0.3798475088484391,0.37997398574205754,0.436019535992917,0.43487855945107656,1,82.2772,95.69,32.82,2.1
2026-01-19T07:45:21Z,0.38572381585151944,0.382867962083027,0.3798475088484391,0.37997398574205754,0.436019535992917,0.43487855945107656,2,-145.5281,2.15,32.82,21.36
2026-01-19T07:45:21Z,0.38572381585151944,0.382867962083027,0.3798475088484391,0.37997398574205754,0.436019535992917,0.43487855945107656,3,69.2496,6.59,6.58,2.42
2026-01-19T07:45:22Z,0.3841227484733741,0.3846720535824491,0.37925594844358773,0.38328321635105883,0.43559218556559265,0.43806673105932226,0,-145.596,96.23,2.11,21.71
2026-01-19T07:45:22Z,0.3841227484733741,0.3846720535824491,0.37925594844358773,0.38328321635105883,0.43559218556559265,0.43806673105932226,1,82.2718,96.23,33.32,2.1
2026-01-19T07:45:22Z,0.3841227484733741,0.3846720535824491,0.37925594844358773,0.38328321635105883,0.43559218556559265,0.43806673105932226,2,-145.596,2.16,33.32,21.71
2026-01-19T07:45:22Z,0.3841227484733741,0.3846720535824491,0.37925594844358773,0.38328321635105883,0.43559218556559265,0.43806673105932226,3,69.1673,6.62,6.65,2.43
2026-01-19T07:45:23Z,0.36504336221714184,0.3641573699803003,0.3815564611291208,0.38293929383802927,0.437851037824307,0.4378694267765152,0,-145.5918,90.13,2.11,21.69
2026-01-19T07:45:23Z,0.36504336221714184,0.3641573699803003,0.3815564611291208,0.38293929383802927,0.437851037824307,0.4378694267765152,1,82.2721,90.13,33.27,2.1
2026-01-19T07:45:23Z,0.36504336221714184,0.3641573699803003,0.3815564611291208,0.38293929383802927,0.437851037824307,0.4378694267765152,2,-145.5918,2.15,33.27,21.69
2026-01-19T07:45:23Z,0.36504336221714184,0.3641573699803003,0.3815564611291208,0.38293929383802927,0.437851037824307,0.4378694267765152,3,69.1725,6.29,6.64,2.43
2026-01-19T07:45:24Z,0.3829886590805211,0.3832333346012691,0.3550019718446824,0.35825875921253,0.4081807081557887,0.41001916839564817,0,-143.6189,95.8,2.11,14.67
2026-01-19T07:45:24Z,0.3829886590805211,0.3832333346012691,0.3550019718446824,0.35825875921253,0.4081807081557887,0.41001916839564817,1,82.3177,95.8,29.56,2.09
2026-01-19T07:45:24Z,0.3829886590805211,0.3832333346012691,0.3550019718446824,0.35825875921253,0.4081807081557887,0.41001916839564817,2,-143.6189,2.15,29.56,14.67
2026-01-19T07:45:24Z,0.3829886590805211,0.3832333346012691,0.3550019718446824,0.35825875921253,0.4081807081557887,0.41001916839564817,3,69.7949,6.59,6.25,2.36
2026-01-19T07:45:26Z,0.38572381585151944,0.3837788057545653,0.38089917179039706,0.38192287998255814,0.4233821733563259,0.4231465432503082,0,-145.2593,95.96,2.11,20.09
2026-01-19T07:45:26Z,0.38572381585151944,0.3837788057545653,0.38089917179039706,0.38192287998255814,0.4233821733563259,0.4231465432503082,1,82.2967,95.96,33.11,2.1
2026-01-19T07:45:26Z,0.38572381585151944,0.3837788057545653,0.38089917179039706,0.38192287998255814,0.4233821733563259,0.4231465432503082,2,-145.2593,2.16,33.11,20.09
2026-01-19T07:45:26Z,0.38572381585151944,0.3837788057545653,0.38089917179039706,0.38192287998255814,0.4233821733563259,0.4231465432503082,3,69.5265,6.6,6.62,2.39
2026-01-19T07:45:27Z,0.3855903935700073,0.3870485275254628,0.379650322046822,0.3840427119006656,0.435836385809778,0.4386491581249168,0,-145.6082,96.93,2.11,21.77
2026-01-19T07:45:27Z,0.3855903935700073,0.3870485275254628,0.379650322046822,0.3840427119006656,0.435836385809778,0.4386491581249168,1,82.2708,96.93,33.43,2.1
2026-01-19T07:45:27Z,0.3855903935700073,0.3870485275254628,0.379650322046822,0.3840427119006656,0.435836385809778,0.4386491581249168,2,-145.6082,2.16,33.43,21.77
