timestamp,s_pps_p1,s_util_p1,s_pps_p2,s_util_p2,s_pps_p4,s_util_p4,action_id,reward,sim_delay_p1,sim_delay_p2,sim_delay_p4,done
2026-01-19T07:45:19Z,0.38539026017344896,0.3862271978272209,0.37991323780728276,0.3838599824148918,0.43614163614163615,0.4388972574672171,0,-22.4461,96.69,2.11,21.8,False
2026-01-19T07:45:19Z,0.38539026017344896,0.3862271978272209,0.37991323780728276,0.3838599824148918,0.43614163614163615,0.4388972574672171,1,16.2006,96.69,33.4,2.1,False
2026-01-19T07:45:19Z,0.38539026017344896,0.3862271978272209,0.37991323780728276,0.3838599824148918,0.43614163614163615,0.4388972574672171,2,-21.0213,2.16,33.4,21.8,False
2026-01-19T07:45:19Z,0.38539026017344896,0.3862271978272209,0.37991323780728276,0.3838599824148918,0.43614163614163615,0.4388972574672171,3,55.2663,6.65,6.66,2.43,False
2026-01-19T07:45:20Z,0.3915276851234156,0.3940625336391564,0.38596029972393847,0.3912666088685036,0.4404151404151404,0.4437122465395822,0,-22.5828,99.02,2.11,22.32,False
2026-01-19T07:45:20Z,0.3915276851234156,0.3940625336391564,0.38596029972393847,0.3912666088685036,0.4404151404151404,0.4437122465395822,1,16.0774,99.02,34.52,2.1,False
2026-01-19T07:45:20Z,0.3915276851234156,0.3940625336391564,0.38596029972393847,0.3912666088685036,0.4404151404151404,0.4437122465395822,2,-21.2404,2.16,34.52,22.32,False
2026-01-19T07:45:20Z,0.3915276851234156,0.3940625336391564,0.38596029972393847,0.3912666088685036,0.4404151404151404,0.4437122465395822,3,54.5334,6.84,6.84,2.45,False
2026-01-19T07:45:21Z,0.3857238158772515,0.3828684574428445,0.37984750887340607,0.3799744719093762,0.436019536019536,0.4348790750971344,0,-22.3427,95.69,2.11,21.36,False
2026-01-19T07:45:21Z,0.3857238158772515,0.3828684574428445,0.37984750887340607,0.3799744719093762,0.436019536019536,0.4348790750971344,1,16.2682,95.69,32.82,2.1,False
2026-01-19T07:45:21Z,0.3857238158772515,0.3828684574428445,0.37984750887340607,0.3799744719093762,0.436019536019536,0.4348790750971344,2,-20.8733,2.15,32.82,21.36,False
2026-01-19T07:45:21Z,0.3857238158772515,0.3828684574428445,0.37984750887340607,0.3799744719093762,0.436019536019536,0.4348790750971344,3,55.6251,6.59,6.58,2.42,False
2026-01-19T07:45:22Z,0.38412274849899936,0.38467255127642486,0.37925594846851585,0.38328370675245627,0.4355921855921856,0.4380672504856725,0,-22.4228,96.23,2.11,21.71,False
2026-01-19T07:45:22Z,0.38412274849899936,0.38467255127642486,0.37925594846851585,0.38328370675245627,0.4355921855921856,0.4380672504856725,1,16.2143,96.23,33.32,2.1,False
2026-01-19T07:45:22Z,0.38412274849899936,0.38467255127642486,0.37925594846851585,0.38328370675245627,0.4355921855921856,0.4380672504856725,2,-20.9908,2.16,33.32,21.71,False
2026-01-19T07:45:22Z,0.38412274849899936,0.38467255127642486,0.37925594846851585,0.38328370675245627,0.4355921855921856,0.4380672504856725,3,55.3646,6.62,6.65,2.43,False
2026-01-19T07:45:23Z,0.3650433622414943,0.36415784113209726,0.38155646115420006,0.38293978379938637,0.43785103785103785,0.43786994596891693,0,-22.3492,90.13,2.11,21.69,False
2026-01-19T07:45:23Z,0.3650433622414943,0.36415784113209726,0.38155646115420006,0.38293978379938637,0.43785103785103785,0.43786994596891693,1,16.2878,90.13,33.27,2.1,False
2026-01-19T07:45:23Z,0.3650433622414943,0.36415784113209726,0.38155646115420006,0.38293978379938637,0.43785103785103785,0.43786994596891693,2,-20.9087,2.15,33.27,21.69,False
2026-01-19T07:45:23Z,0.3650433622414943,0.36415784113209726,0.38155646115420006,0.38293978379938637,0.43785103785103785,0.43786994596891693,3,55.9793,6.29,6.64,2.43,False
2026-01-19T07:45:24Z,0.3829886591060707,0.3832338304338106,0.3550019718680163,0.3582592175957533,0.4081807081807082,0.41001965456532297,0,-20.3934,95.8,2.11,14.67,False
2026-01-19T07:45:24Z,0.3829886591060707,0.3832338304338106,0.3550019718680163,0.3582592175957533,0.4081807081807082,0.41001965456532297,1,16.6232,95.8,29.56,2.09,False
2026-01-19T07:45:24Z,0.3829886591060707,0.3832338304338106,0.3550019718680163,0.3582592175957533,0.4081807081807082,0.41001965456532297,2,-18.6498,2.15,29.56,14.67,False
2026-01-19T07:45:24Z,0.3829886591060707,0.3832338304338106,0.3550019718680163,0.3582592175957533,0.4081807081807082,0.41001965456532297,3,56.7661,6.59,6.25,2.36,False
2026-01-19T07:45:26Z,0.3857238158772515,0.3837793022928448,0.38089917181543315,0.38192336864343884,0.4233821733821734,0.4231470449854298,0,-22.0805,95.96,2.11,20.09,False
2026-01-19T07:45:26Z,0.3857238158772515,0.3837793022928448,0.38089917181543315,0.38192336864343884,0.4233821733821734,0.4231470449854298,1,16.2595,95.96,33.11,2.1,False
2026-01-19T07:45:26Z,0.3857238158772515,0.3837793022928448,0.38089917181543315,0.38192336864343884,0.4233821733821734,0.4231470449854298,2,-20.6333,2.16,33.11,20.09,False
2026-01-19T07:45:26Z,0.3857238158772515,0.3837793022928448,0.38089917181543315,0.38192336864343884,0.4233821733821734,0.4231470449854298,3,55.8035,6.6,6.62,2.39,False
2026-01-19T07:45:27Z,0.3855903935957305,0.38704902829415316,0.379650322071776,0.3840432032738188,0.43583638583638584,0.43864967824186496,0,-22.4439,96.93,2.11,21.77,False
2026-01-19T07:45:27Z,0.3855903935957305,0.38704902829415316,0.379650322071776,0.3840432032738188,0.43583638583638584,0.43864967824186496,1,16.1962,96.93,33.43,2.1,False
